6361,1.43506E+12,start,FATBOTSLIM,start,FATBOTSLIM,1000,2100,100
6515,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6516,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6517,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6518,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6519,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6520,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6521,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6522,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6523,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6524,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6525,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6526,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6527,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6528,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6529,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6530,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6531,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6532,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6533,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6534,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6535,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6536,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6537,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6538,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6539,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6540,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6541,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6542,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6543,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6544,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6545,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6546,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6547,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6548,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6549,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6550,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6551,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6552,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6553,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6554,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6555,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6556,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6557,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6558,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6559,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6560,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6561,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6562,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6563,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6564,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6565,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6566,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6567,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6568,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6569,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6570,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6571,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6572,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6573,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6574,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6575,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6576,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6577,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6578,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6579,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6580,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6581,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6582,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6583,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6584,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6585,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6586,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6587,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6588,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6589,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6590,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6591,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6592,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6593,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6594,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6595,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6596,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6597,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6598,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6599,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6600,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6601,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6602,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6603,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6604,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6605,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6606,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6607,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6608,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6609,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6610,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6611,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6612,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6613,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6614,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6615,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6616,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6617,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6618,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6619,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6620,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6621,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6622,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6623,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6624,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6625,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6626,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6627,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6628,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6629,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6630,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6631,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6632,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6633,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6634,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6635,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6636,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6637,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6638,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6639,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6640,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6641,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6642,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6643,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6644,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6645,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6646,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6647,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6648,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6649,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6650,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6651,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6652,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6653,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6654,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6655,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6656,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6657,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6658,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6659,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6660,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6661,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6662,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6663,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6664,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6665,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6666,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6667,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6668,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6669,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6670,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6671,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6672,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6673,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6674,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6675,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6676,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6677,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6678,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6679,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6680,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6681,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6682,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6683,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6684,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6685,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6686,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6687,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6688,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6689,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6690,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6691,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6692,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6693,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6694,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6695,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6696,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6697,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6698,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6699,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6700,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6701,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6702,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6703,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6704,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6705,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6706,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6707,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6708,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6709,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6710,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6711,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6712,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6713,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6714,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6715,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6716,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6717,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6718,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6719,1.43506E+12,ourmove,PAPER,theirmove,SCISSORS,,,
6720,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6721,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6722,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6723,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6724,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6725,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6726,1.43506E+12,ourmove,PAPER,theirmove,ROCK,,,
6727,1.43506E+12,ourmove,ROCK,theirmove,SCISSORS,,,
6728,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6729,1.43506E+12,ourmove,SCISSORS,theirmove,DYNAMITE,,,
6730,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6731,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6732,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6733,1.43506E+12,ourmove,PAPER,theirmove,PAPER,,,
6734,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6735,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6736,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6737,1.43506E+12,ourmove,SCISSORS,theirmove,PAPER,,,
6738,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
6739,1.43506E+12,ourmove,ROCK,theirmove,ROCK,,,
6740,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6741,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6742,1.43506E+12,ourmove,ROCK,theirmove,DYNAMITE,,,
6743,1.43506E+12,ourmove,ROCK,theirmove,PAPER,,,
6744,1.43506E+12,ourmove,SCISSORS,theirmove,SCISSORS,,,
6745,1.43506E+12,ourmove,PAPER,theirmove,DYNAMITE,,,
6746,1.43506E+12,ourmove,SCISSORS,theirmove,ROCK,,,
